"","Site_ID","Site_Name","Latitude","Longitude","Elevation","Sample_ID","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID"
"35","Mexico_Pb9","Puebla ",19.0677,-98.0653,NA,"Pb9","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"36","Misc_002","St Paul Airport",44.88,-93.21,250,"StPaulAirport_140406","Tap","2014-04-06 00:00:00",NA,"2014-04-06 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"37","Misc_004","Toronto Airport",43.68,-79.62,167,"TorontoAirport_140406","Tap","2014-04-06 00:00:00",NA,"2014-04-06 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"38","Mexico_VC10","santiago tuxtla",18.464,-95.2968,NA,"VC10","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"39","Mexico_VC11","near guiterrez zamora",20.4777,-97.0194,NA,"VC11","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"40","Mexico_VC12","near casitas ",20.2623,-96.8065,NA,"VC12","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"41","Mexico_VC13","veracruz, hotel emporio on pier",19.2015,-96.1359,NA,"VC13","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"42","Mexico_VC14","vega de Alatorre, coast of esmeralda",20.0301,-96.6416,NA,"VC14","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"43","Mexico_VC15","hotel delfines, veracruz",19.1874,-96.1258,NA,"VC15","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"44","Mexico_VC2","Tuxpan - best western riviera",20.953124,-97.407835,NA,"VC2","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"45","Mexico_VC3","Papantla- hotel tajin ",20.445,-97.321,NA,"VC3","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"46","Mexico_VC4","santa cruz zapotal ",20.8446,-97.4738,NA,"VC4","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"47","Mexico_VC5","el tajin ruins ",20.4407,-97.378,NA,"VC5","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"48","Mexico_VC6","",20.6419,-97.4079,NA,"VC6","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"49","Mexico_VC7","guiterrez zamora",20.4455,-97.0931,NA,"VC7","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"50","Mexico_VC8","villa rica- hotel villas arcon",19.6767,-96.4005,NA,"VC8","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"51","Mexico_VC9","on 140 on way to xalapa",19.3413,-96.5059,NA,"VC9","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"52","Misc_003","Waterloo private residence",43.47,-80.52,332,"Waterloo_140406","Tap","2014-04-06 00:00:00",NA,"2014-04-06 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
